"","date","L005_CHLOROPHYLL-A(LC)_ug/L","days"
"1",2010-10-21,10.3,21
"2",2010-11-02,40.2,33
"3",2010-12-20,10.2,81
"4",2011-01-03,6.6,95
"5",2011-02-14,20.8,137
"6",2011-03-09,24,160
"7",2011-04-19,9.7,201
"8",2011-05-24,2.58,236
"9",2011-06-07,21.2,250
"10",2011-07-12,2.61,285
"11",2011-08-02,2.86,306
"12",2011-09-19,23.1,354
"13",2011-10-10,19.9,375
"14",2011-11-15,14.9,411
"15",2011-12-05,16.9,431
"16",2012-01-23,7.13,480
"17",2012-02-07,12.9,495
"18",2012-03-19,23.1,536
"19",2012-04-02,18.4,550
"20",2012-05-21,21,599
"21",2012-06-11,35.5,620
"22",2012-07-16,7.58,655
"23",2012-08-13,3.75,683
"24",2012-09-18,29.6,719
"25",2012-10-09,35.5,740
"26",2012-11-27,18.8,789
"27",2012-12-11,9.69,803
"28",2013-01-08,8.4,831
"29",2013-02-11,18.2,865
"30",2013-03-27,15,909
"31",2013-04-08,21,921
"32",2013-05-14,35,957
"33",2013-06-03,142,977
"34",2013-07-17,38.4,1021
"35",2013-08-06,70.8,1041
"36",2013-09-17,44.3,1083
"37",2013-10-01,48.6,1097
"38",2013-11-12,56.5,1139
"39",2013-12-04,16.2,1161
"40",2014-01-14,29.8,1202
"41",2014-02-05,42.7,1224
"42",2014-03-11,16,1258
"43",2014-04-15,45.3,1293
"44",2014-05-14,113,1322
"45",2014-06-04,112,1343
"46",2014-07-15,34.4,1384
"47",2014-08-06,29.8,1406
"48",2014-09-02,71.2,1433
"49",2014-10-07,54.4,1468
"50",2014-11-04,46,1496
"51",2014-12-02,40.7,1524
"52",2015-01-06,11.9,1559
"53",2015-02-03,11.6,1587
"54",2015-03-03,29.1,1615
"55",2015-04-07,18.1,1650
"56",2015-05-12,16.9,1685
"57",2015-06-03,43.7,1707
"58",2015-07-08,21.7,1742
"59",2015-08-04,20.6,1769
"60",2015-09-01,40.4,1797
"61",2015-10-06,5.29,1832
"62",2015-11-04,47.1,1861
"63",2015-12-01,33.6,1888
"64",2016-01-11,53.4,1929
"65",2016-02-02,44.7,1951
"66",2016-03-01,24.9,1979
"67",2016-04-05,14.6,2014
"68",2016-05-03,7.94,2042
"69",2016-06-14,39.2,2084
"70",2016-07-11,62.3,2111
"71",2016-08-02,55.9,2133
"72",2016-09-06,55.4,2168
"73",2016-10-18,26.3,2210
"74",2016-11-01,29.5,2224
"75",2016-12-07,18.8,2260
"76",2017-01-09,21.8,2293
"77",2017-02-07,17.4,2322
"78",2017-03-22,15.6,2365
"79",2017-04-17,43.7,2391
"80",2017-05-23,31.5,2427
"81",2017-06-20,55,2455
"82",2017-07-10,54.5,2475
"83",2017-08-14,29.3,2510
"84",2017-09-18,35,2545
"85",2017-10-10,20.3,2567
"86",2017-11-07,24.2,2595
"87",2017-12-05,8.81,2623
"88",2018-01-17,5.82,2666
"89",2018-02-06,5.55,2686
"90",2018-03-06,9.08,2714
"91",2018-04-03,10.4,2742
"92",2018-05-01,37.6,2770
"93",2018-06-05,28.4,2805
"94",2018-07-17,26.4,2847
"95",2018-08-14,18.4,2875
"96",2018-09-04,26.5,2896
"97",2018-10-16,28.8,2938
"98",2018-11-06,45.3,2959
"99",2018-12-04,13.1,2987
"100",2019-01-08,24.2,3022
"101",2019-02-12,25.8,3057
"102",2019-03-12,33.9,3085
"103",2019-04-02,22,3106
"104",2019-05-08,24.8,3142
"105",2019-06-05,7.66,3170
"106",2019-07-09,21,3204
"107",2019-08-06,16.6,3232
"108",2019-09-09,17.1,3266
"109",2019-10-01,61.2,3288
"110",2019-11-05,35.4,3323
"111",2019-12-03,13.2,3351
"112",2020-01-14,23.4,3393
"113",2020-02-04,36.7,3414
"114",2020-02-12,39.8,3422
"115",2020-03-10,25.5,3449
"116",2020-04-07,27.8,3477
"117",2020-05-05,13.4,3505
"118",2020-05-20,78,3520
"119",2020-06-02,74,3533
"120",2020-06-23,32.5,3554
"121",2020-07-07,10.1,3568
"122",2020-07-21,42.1,3582
"123",2020-08-04,21,3596
"124",2020-08-25,37.2,3617
"125",2020-09-08,19.5,3631
"126",2020-09-23,51.7,3646
"127",2020-10-06,71.8,3659
"128",2020-10-21,45,3674
"129",2020-11-17,18.3,3701
"130",2020-12-15,24.5,3729
"131",2021-01-05,5.86,3750
"132",2021-02-09,15,3785
"133",2021-03-10,11.4,3814
"134",2021-04-06,18.6,3841
"135",2021-05-04,23.1,3869
"136",2021-05-18,28.9,3883
"137",2021-06-08,16.4,3904
"138",2021-06-22,24.8,3918
"139",2021-07-08,18.2,3934
"140",2021-07-20,67.6,3946
"141",2021-08-03,13.8,3960
"142",2021-08-24,30.3,3981
"143",2021-09-08,14.8,3996
"144",2021-09-21,52.9,4009
"145",2021-10-05,32.4,4023
"146",2021-10-19,47.8,4037
"147",2021-11-02,24.7,4051
"148",2021-12-07,31.7,4086
"149",2022-01-04,40,4114
"150",2022-02-08,42.7,4149
"151",2022-03-08,31.3,4177
"152",2022-04-05,14.8,4205
"153",2022-05-03,21.7,4233
"154",2022-05-18,32.2,4248
"155",2022-06-07,91.8,4268
"156",2022-06-21,210,4282
"157",2022-07-06,65.2,4297
"158",2022-07-19,31,4310
"159",2022-08-02,50.1,4324
"160",2022-08-16,41.5,4338
"161",2022-09-06,51.7,4359
"162",2022-09-20,28.3,4373
"163",2022-10-04,33.9,4387
"164",2022-10-18,37.1,4401
"165",2022-11-15,48.9,4429
"166",2022-12-06,23.6,4450
"167",2023-01-10,6.47,4485
"168",2023-02-07,6.62,4513
"169",2023-03-07,11,4541
"170",2023-04-04,15.5,4569
"171",2023-05-02,5.32,4597
