"","date","S4_AMMONIA-N_mg/L","days"
"1",1976-03-08,0.13,8
"2",1976-03-23,0.04,23
"3",1976-04-05,0.07,36
"4",1976-04-19,NA,50
"5",1976-05-03,0.01,63
"6",1976-05-17,0.12,77
"7",1976-06-01,0.23,92
"8",1976-06-14,0.08,105
"9",1976-06-28,0.02,119
"10",1976-07-12,0.13,133
"11",1976-07-26,0.03,147
"12",1976-08-09,0.07,161
"13",1976-08-23,0.53,175
"14",1976-09-07,0.14,190
"15",1976-09-20,0.44,203
"16",1976-10-04,0.35,217
"17",1976-10-18,0.25,231
"18",1976-11-01,0.11,246
"19",1976-11-15,0.18,260
"20",1976-11-29,NA,274
"21",1976-12-27,0.14,302
"22",1977-01-10,0.05,316
"23",1977-01-24,0.23,330
"24",1977-02-07,0.13,344
"25",1977-02-23,0.04,360
"26",1977-03-07,0.19,372
"27",1977-03-21,0.11,386
"28",1977-04-04,0.02,400
"29",1977-04-19,0.02,415
"30",1977-05-02,NA,427
"31",1977-05-16,0.68,441
"32",1977-06-13,0.05,469
"33",1977-06-27,0.02,483
"34",1977-07-11,NA,497
"35",1977-07-25,0.02,511
"36",1977-08-08,NA,525
"37",1977-08-22,0.29,539
"38",1977-09-06,0.97,554
"39",1977-09-19,0.52,567
"40",1977-10-03,0.13,581
"41",1977-10-17,0.04,595
"42",1977-10-31,0.17,610
"43",1977-11-21,NA,631
"44",1977-12-05,0.51,645
"45",1977-12-19,1.23,659
"46",1978-01-04,0.68,675
"47",1978-01-16,0.413333333333333,687
"48",1978-01-30,0.35,701
"49",1978-02-13,0.07,715
"50",1978-02-27,0.21,729
"51",1978-03-13,1.14,743
"52",1978-03-27,0.09,757
"53",1978-04-10,NA,771
"54",1978-04-24,0.1,785
"55",1978-05-08,0.73,798
"56",1978-05-22,0.08,812
"57",1978-06-05,0.07,826
"58",1978-06-19,0.15,840
"59",1978-07-05,0.1,856
"60",1978-07-17,0.77,868
"61",1978-07-31,0.5,882
"62",1978-08-14,0.54,896
"63",1978-08-28,0.45,910
"64",1978-09-11,0.28,924
"65",1978-09-25,0.05,938
"66",1978-10-09,0.14,952
"67",1978-10-23,0.12,966
"68",1978-11-20,0.19,995
"69",1978-12-04,0.02,1009
"70",1978-12-19,0.08,1024
"71",1979-01-08,0.6,1044
"72",1979-01-22,0.19,1058
"73",1979-02-05,0.26,1072
"74",1979-02-20,0.21,1087
"75",1979-03-05,NA,1100
"76",1979-03-19,0.13,1114
"77",1979-04-02,0.0433333333333333,1128
"78",1979-04-16,0.01,1142
"79",1979-04-30,0.12,1155
"80",1979-05-14,NA,1169
"81",1979-05-29,NA,1184
"82",1979-06-12,0.02,1198
"83",1979-06-25,0.02,1211
"84",1979-07-09,0.01,1225
"85",1979-07-23,0.09,1239
"86",1979-08-07,0.02,1254
"87",1979-08-20,0.03,1267
"88",1979-09-06,1.14,1284
"89",1979-09-18,1.03,1296
"90",1979-10-01,1.08,1309
"91",1979-10-15,0.1,1323
"92",1979-10-29,0.09,1338
"93",1979-11-14,0.54,1354
"94",1979-11-27,0.22,1367
"95",1979-12-12,0.68,1382
"96",1979-12-27,0.21,1397
"97",1980-01-09,0.05,1410
"98",1980-01-23,1.72,1424
"99",1980-02-05,0.94,1437
"100",1980-02-20,1.16,1452
"101",1980-03-04,0.09,1465
"102",1980-03-19,0.05,1480
"103",1980-04-02,0.18,1494
"104",1980-04-17,0.19,1509
"105",1980-04-30,0.03,1521
"106",1980-05-13,0.0333333333333333,1534
"107",1980-05-28,0.01,1549
"108",1980-06-09,0.0233333333333333,1561
"109",1980-06-25,NA,1577
"110",1980-07-08,0.01,1590
"111",1980-08-04,NA,1617
"112",1980-08-20,1.44,1633
"113",1980-09-03,0.87,1647
"114",1980-09-17,1.55,1661
"115",1980-10-01,1.13,1675
"116",1980-10-14,0.45,1688
"117",1980-10-29,0.15,1704
"118",1980-11-12,0.37,1718
"119",1980-12-02,0.34,1738
"120",1980-12-31,NA,1767
"121",1981-01-13,0.02,1780
"122",1981-01-27,NA,1794
"123",1981-02-10,0.02,1808
"124",1981-02-24,0.27,1822
"125",1981-03-10,0.05,1836
"126",1981-03-24,0.04,1850
"127",1981-04-07,NA,1864
"128",1981-04-21,NA,1878
"129",1981-05-05,NA,1891
"130",1981-05-19,NA,1905
"131",1981-06-02,0.03,1919
"132",1981-06-16,0.02,1933
"133",1981-06-30,0.07,1947
"134",1981-07-15,NA,1962
"135",1981-07-28,0.09,1975
"136",1981-08-11,0.42,1989
"137",1981-08-25,1.22,2003
"138",1981-09-09,0.45,2018
"139",1981-09-23,1.04,2032
"140",1981-10-05,0.01,2044
"141",1981-10-20,0.28,2059
"142",1981-11-03,0.22,2074
"143",1981-12-01,0.08,2102
"144",1981-12-29,0.1,2130
"145",1982-02-24,0.11,2187
"146",1982-04-05,0.52,2227
"147",1982-05-03,NA,2254
"148",1982-06-01,0.57,2283
"149",1982-06-26,1.08,2308
"150",1982-06-30,0.9,2312
"151",1982-07-12,0.51,2324
"152",1982-07-27,1.05,2339
"153",1982-08-09,0.01,2352
"154",1982-08-19,0.24,2362
"155",1982-08-24,0.19,2367
"156",1982-09-21,0.05,2395
"157",1982-10-19,0.44,2423
"158",1982-11-22,0.44,2458
"159",1982-12-21,0.205,2487
"160",1983-01-18,0.02,2515
"161",1983-01-24,0.2,2521
"162",1983-02-01,0.2,2529
"163",1983-02-07,0.13,2535
"164",1983-02-17,0.48,2545
"165",1983-03-02,0.09,2558
"166",1983-03-15,0.01,2571
"167",1983-03-29,0.04,2585
"168",1983-04-06,0.16,2593
"169",1983-04-14,0.03,2601
"170",1984-02-28,0.24,2921
"171",1984-03-27,0.62,2949
"172",1984-06-04,1.2,3017
"173",1984-06-19,0.67,3032
"174",1984-07-31,0.81,3074
"175",1984-09-10,0.05,3115
"176",1984-09-25,0.18,3130
"177",1984-10-09,0.02,3144
"178",1984-11-06,0.09,3173
"179",1984-12-04,0.57,3201
"180",1985-01-03,0.08,3231
"181",1985-02-26,0.04,3285
"182",1985-03-26,0.45,3313
"183",1985-04-05,0.6,3323
"184",1985-04-23,0.19,3341
"185",1985-05-20,0.03,3367
"186",1985-06-19,0.11,3397
"187",1985-07-22,0.24,3430
"188",1985-07-30,0.14,3438
"189",1985-08-27,0.39,3466
"190",1985-09-24,0.02,3494
"191",1985-10-08,0.72,3508
"192",1985-11-19,0.13,3551
"193",1985-11-20,0.32,3552
"194",1985-12-30,0.22,3592
"195",1986-01-28,0.05,3621
"196",1986-02-12,0.25,3636
"197",1986-03-11,0.01,3663
"198",1986-03-17,0.97,3669
"199",1986-04-22,NA,3705
"200",1986-05-20,0.22,3732
"201",1986-06-17,0.2,3760
"202",1986-07-29,0.85,3802
"203",1986-07-31,0.4,3804
"204",1986-08-26,0.3,3830
"205",1986-09-23,0.11,3858
"206",1986-10-21,0.35,3886
"207",1986-11-04,0.83,3901
"208",1986-12-18,0.13,3945
"209",1987-01-22,0.01,3980
"210",1987-02-03,NA,3992
"211",1987-03-17,NA,4034
"212",1987-03-31,3.05,4048
"213",1987-04-28,NA,4075
"214",1987-05-26,0.16,4103
"215",1987-06-24,0.24,4132
"216",1987-07-08,0.19,4146
"217",1987-08-04,0.34,4173
"218",1987-09-16,0.16,4216
"219",1987-10-13,0.37,4243
"220",1987-11-04,0.59,4266
"221",1987-11-24,0.36,4286
"222",1987-12-22,NA,4314
"223",1988-01-05,0.09,4328
"224",1988-02-16,0.05,4370
"225",1988-03-15,0.21,4398
"226",1988-04-12,0.03,4425
"227",1988-05-10,0.01,4453
"228",1988-06-07,0.63,4481
"229",1988-07-19,0.12,4523
"230",1988-08-02,0.31,4537
"231",1988-08-30,0.67,4565
"232",1988-09-27,NA,4593
"233",1988-10-25,NA,4621
"234",1988-11-22,NA,4650
"235",1988-12-20,0.01,4678
"236",1989-01-18,NA,4707
"237",1989-02-14,0.17,4734
"238",1989-03-28,0.07,4776
"239",1989-04-25,0.02,4803
"240",1989-05-23,NA,4831
"241",1989-06-20,NA,4859
"242",1989-07-18,0.06,4887
"243",1989-08-30,NA,4930
"244",1989-09-12,0.41,4943
"245",1989-10-25,0.02,4986
"246",1989-11-20,0.05,5013
"247",1989-12-19,NA,5042
"248",1990-01-29,NA,5083
"249",1990-02-27,0.01,5112
"250",1990-03-26,0.02,5139
"251",1990-04-24,NA,5167
"252",1990-05-22,0.02,5195
"253",1990-06-19,NA,5223
"254",1990-07-17,0.55,5251
"255",1990-08-28,0.17,5293
"256",1990-09-25,0.03,5321
"257",1990-10-23,0.06,5349
"258",1990-11-19,0.02,5377
"259",1990-12-18,NA,5406
"260",1991-02-26,NA,5476
"261",1991-03-26,NA,5504
"262",1991-04-24,0.03,5532
"263",1991-05-21,NA,5559
"264",1991-06-18,0.06,5587
"265",1991-07-30,0.05,5629
"266",1991-08-28,0.56,5658
"267",1991-09-24,0.57,5685
"268",1991-10-22,0.02,5713
"269",1991-11-05,0.27,5728
"270",1991-11-19,0.14,5742
"271",1991-12-17,0.24,5770
"272",1992-01-28,NA,5812
"273",1992-02-25,0.13,5840
"274",1992-03-23,NA,5867
"275",1992-04-23,NA,5897
"276",1992-05-21,0.05,5925
"277",1992-06-15,0.49,5950
"278",1992-06-29,0.6,5964
"279",1992-07-28,0.02,5993
"280",1992-08-26,0.93,6022
"281",1992-09-21,0.1,6048
"282",1992-10-19,0.11,6076
"283",1992-11-16,0.21,6105
"284",1992-12-28,0.43,6147
"285",1993-01-25,0.181666666666667,6175
"286",1993-02-22,0.06,6203
"287",1993-03-22,0.182,6231
"288",1993-04-19,0.133333333333333,6258
"289",1993-05-17,0.128333333333333,6286
"290",1993-06-28,0.095,6328
"291",1993-07-27,NA,6357
"292",1993-08-23,0.03,6384
"293",1993-09-20,0.0375,6412
"294",1993-10-18,0.6125,6440
"295",1993-11-15,NA,6469
"296",1993-12-13,0.0325,6497
"297",1994-01-18,NA,6533
"298",1994-02-14,0.17,6560
"299",1994-03-14,0.02,6588
"300",1994-04-11,NA,6615
"301",1994-05-16,NA,6650
"302",1994-06-13,NA,6678
"303",1994-07-18,0.00425,6713
"304",1994-08-15,0.385,6741
"305",1994-09-12,0.0845,6769
"306",1994-09-27,0.447,6784
"307",1994-10-10,0.041,6797
"308",1994-11-07,NA,6826
"309",1994-11-21,1.211,6840
"310",1994-12-05,0.094,6854
"311",1995-01-03,0.114,6883
"312",1995-01-17,0.49325,6897
"313",1995-01-30,0.035,6910
"314",1995-02-27,0.297,6938
"315",1995-03-28,NA,6967
"316",1995-04-24,NA,6993
"317",1995-05-22,0.051,7021
"318",1995-06-19,NA,7049
"319",1995-07-17,NA,7077
"320",1995-08-03,0.83,7094
"321",1995-08-14,0.016,7105
"322",1995-09-13,0.746,7135
"323",1995-10-09,0.872,7161
"324",1995-10-24,0.701,7176
"325",1995-11-06,0.203,7190
"326",1995-12-04,0.147,7218
"327",1996-01-02,0.082,7247
"328",1996-01-29,0.092,7274
"329",1996-02-26,0.03,7302
"330",1996-03-25,0.06,7330
"331",1996-04-22,0.09,7357
"332",1996-05-20,0.0035,7385
"333",1996-06-18,0.021,7414
"334",1996-07-15,0.202,7441
"335",1996-08-13,0.128,7470
"336",1996-09-09,0.019,7497
"337",1996-10-07,0.083,7525
"338",1996-11-04,0.03,7554
"339",1996-12-02,0.078,7582
"340",1996-12-30,0.024,7610
"341",1997-01-27,0.009,7638
"342",1997-02-24,NA,7666
"343",1997-03-24,0.091,7694
"344",1997-04-21,0.026,7721
"345",1997-05-19,0.042,7749
"346",1997-06-16,0.015,7777
"347",1997-07-14,0.029,7805
"348",1997-08-11,0.576,7833
"349",1997-08-25,0.236,7847
"350",1997-09-22,0.069,7875
"351",1997-10-20,0.087,7903
"352",1997-11-17,0.063,7932
"353",1997-12-22,0.275,7967
"354",1998-01-20,0.024,7996
"355",1998-02-02,0.04,8009
"356",1998-02-17,0.438,8024
"357",1998-03-16,NA,8051
"358",1998-04-20,0.019,8085
"359",1998-05-19,0.052,8114
"360",1998-06-15,0.079,8141
"361",1998-07-27,0.014,8183
"362",1998-08-24,1.092,8211
"363",1998-09-21,1.095,8239
"364",1998-10-19,0.27,8267
"365",1998-11-16,0.55,8296
"366",1998-12-28,0.023,8338
"367",1999-01-25,0.135,8366
"368",1999-02-22,0.021,8394
"369",1999-03-22,0.061,8422
"370",1999-04-19,0.011,8449
"371",1999-05-17,0.021,8477
"372",1999-06-21,0.827,8512
"373",1999-07-26,1.102,8547
"374",1999-08-23,0.653,8575
"375",1999-09-20,0.79,8603
"376",1999-10-18,1.356,8631
"377",1999-11-01,0.124,8646
"378",1999-12-27,0.013,8702
"379",2000-01-24,0.132,8730
"380",2000-02-22,0.122,8759
"381",2000-03-20,0,8786
"382",2000-04-18,0.416,8814
"383",2000-05-15,0.147,8841
"384",2000-06-26,0.012,8883
"385",2000-07-25,0.018,8912
"386",2000-08-21,0.06,8939
"387",2000-09-18,0.0985,8967
"388",2000-10-16,0.012,8995
"389",2000-11-13,0.088,9024
"390",2000-12-18,0.093,9059
"391",2001-01-22,0.246,9094
"392",2001-02-20,0.016,9123
"393",2001-03-19,0.076,9150
"394",2001-04-16,0.009,9177
"395",2001-05-14,NA,9205
"396",2001-06-18,0.156,9240
"397",2001-07-16,0.015,9268
"398",2001-08-04,0.284375,9287
"399",2001-08-07,0.20475,9290
"400",2001-08-10,0.1674,9293
"401",2001-08-13,0.132333333333333,9296
"402",2001-08-16,0.0256666666666667,9299
"403",2001-08-19,0.015,9302
"404",2001-08-22,0.315,9305
"405",2001-08-25,0.218,9308
"406",2001-08-27,0.179,9310
"407",2001-08-31,0.306,9314
"408",2001-09-10,0.231,9324
"409",2001-09-16,0.2186,9330
"410",2001-09-19,0.0262,9333
"411",2001-09-24,0.017,9338
"412",2001-10-02,0.183333333333333,9346
"413",2001-10-08,0.325,9352
"414",2001-10-16,0.0306666666666667,9360
"415",2001-11-05,1.072,9381
"416",2001-11-19,0.148,9395
"417",2001-12-03,0.458,9409
"418",2001-12-17,0.348,9423
"419",2002-01-07,0.106,9444
"420",2002-01-22,NA,9459
"421",2002-02-04,0.0562,9472
"422",2002-02-12,0.00466666666666667,9480
"423",2002-02-15,0.0975,9483
"424",2002-02-19,0.026,9487
"425",2002-03-04,0.013,9500
"426",2002-03-18,0.012,9514
"427",2002-04-01,0.044,9528
"428",2002-04-15,0.062,9541
"429",2002-04-23,NA,9549
"430",2002-05-13,0.018,9569
"431",2002-06-10,0.09,9597
"432",2002-06-24,0.878333333333333,9611
"433",2002-07-08,0.5335,9625
"434",2002-07-09,1.111,9626
"435",2002-07-22,0.3655,9639
"436",2002-07-30,NA,9647
"437",2002-08-05,0.02,9653
"438",2002-08-06,NA,9654
"439",2002-08-19,0.143,9667
"440",2002-09-03,0.874,9682
"441",2002-09-16,0.463,9695
"442",2002-09-30,0.698,9709
"443",2002-10-08,NA,9717
"444",2002-10-14,0.092,9723
"445",2002-10-28,0.153666666666667,9738
"446",2002-11-12,0.001,9753
"447",2002-11-25,2.15633333333333,9766
"448",2002-12-09,0.267,9780
"449",2002-12-17,0.866666666666667,9788
"450",2002-12-30,0.397,9801
"451",2003-01-13,0.265,9815
"452",2003-01-27,0.367,9829
"453",2003-02-10,0.337,9843
"454",2003-02-24,0.2805,9857
"455",2003-03-10,0.311,9871
"456",2003-03-24,0.367,9885
"457",2003-04-21,0.1925,9912
"458",2003-05-05,0.001,9926
"459",2003-05-19,0.148,9940
"460",2003-06-02,0.199333333333333,9954
