"","date","S65E_CHLOROPHYLL-A(LC)_ug/L","days"
"1",2010-10-26,1.2,26
"2",2010-11-09,3.8,40
"3",2010-11-29,2.5,60
"4",2010-12-09,7.3,70
"5",2010-12-22,13.5,83
"6",2011-01-10,4.7,102
"7",2011-01-24,5.6,116
"8",2011-02-07,16.4,130
"9",2011-02-23,17.2,146
"10",2011-03-09,6.53333333333333,160
"11",2011-03-23,7.3,174
"12",2011-04-13,31.2,195
"13",2011-04-27,17.2,209
"14",2011-05-11,15.3,223
"15",2011-05-25,12.1,237
"16",2011-06-08,12.2,251
"17",2011-06-20,14.5,263
"18",2011-07-06,18,279
"19",2011-07-20,8.84,293
"20",2011-08-03,112,307
"21",2011-08-17,3.41,321
"22",2011-08-31,1.2,335
"23",2011-09-14,10.3866666666667,349
"24",2011-09-28,7.62,363
"25",2011-10-12,6.32,377
"26",2011-10-26,3.96,391
"27",2011-11-07,0.734,403
"28",2011-11-22,2.15,418
"29",2011-12-07,4.92,433
"30",2011-12-21,3.25,447
"31",2012-01-04,2,461
"32",2012-01-18,2.05,475
"33",2012-02-01,3.95,489
"34",2012-02-15,5.95,503
"35",2012-02-29,3.61,517
"36",2012-03-14,8.15,531
"37",2012-03-28,2.66,545
"38",2012-04-11,3.51,559
"39",2012-04-25,9.15,573
"40",2012-05-09,7.44,587
"41",2012-05-23,18.8,601
"42",2012-06-06,19.8,615
"43",2012-06-20,14.6,629
"44",2012-07-11,4.44,650
"45",2012-07-25,0.916,664
"46",2012-08-08,1.24,678
"47",2012-08-22,5.08,692
"48",2012-09-05,9.28,706
"49",2012-09-19,5.43,720
"50",2012-10-03,2.4,734
"51",2012-10-17,2.32,748
"52",2012-10-31,1.95,762
"53",2012-11-14,3.16,776
"54",2012-11-28,2.06,790
"55",2012-12-05,2.36,797
"56",2012-12-19,5.75,811
"57",2013-01-02,2.65,825
"58",2013-01-16,2.3,839
"59",2013-01-30,0.795,853
"60",2013-02-13,13.1,867
"61",2013-02-27,25.9,881
"62",2013-03-13,5.85,895
"63",2013-03-27,16.3,909
"64",2013-04-10,5.37,923
"65",2013-04-24,21.2,937
"66",2013-05-08,9.47,951
"67",2013-05-22,13.6,965
"68",2013-06-05,17.9,979
"69",2013-06-19,9.18,993
"70",2013-07-02,10.5,1006
"71",2013-07-17,3.34,1021
"72",2013-07-31,2.76,1035
"73",2013-08-14,4.45,1049
"74",2013-08-28,6.72,1063
"75",2013-09-11,5.31,1077
"76",2013-09-25,2.83,1091
"77",2013-10-09,3.65,1105
"78",2013-10-23,2.01,1119
"79",2013-11-06,0.86,1133
"80",2013-11-20,8.06,1147
"81",2013-12-04,2.36,1161
"82",2013-12-18,5.52,1175
"83",2013-12-30,6.45,1187
"84",2014-01-15,9.44,1203
"85",2014-01-29,5.97,1217
"86",2014-02-12,15.6,1231
"87",2014-02-26,13.6,1245
"88",2014-03-12,6.6,1259
"89",2014-03-26,10.3,1273
"90",2014-04-09,22.2,1287
"91",2014-04-23,18.7,1301
"92",2014-05-07,9.69,1315
"93",2014-05-21,14.5,1329
"94",2014-06-04,30.6,1343
"95",2014-06-18,16.6,1357
"96",2014-07-01,4.81,1370
"97",2014-07-16,9.8,1385
"98",2014-07-30,5.59,1399
"99",2014-08-13,6.92,1413
"100",2014-08-27,3.35,1427
"101",2014-09-10,1.21,1441
"102",2014-09-24,2.12,1455
"103",2014-10-08,2.91,1469
"104",2014-10-22,1.97,1483
"105",2014-11-05,1.59,1497
"106",2014-11-19,1.79,1511
"107",2014-12-03,7.88,1525
"108",2014-12-17,6.87,1539
"109",2014-12-30,6.9,1552
"110",2015-01-14,2.49,1567
"111",2015-01-28,3.43,1581
"112",2015-02-11,2.99,1595
"113",2015-02-25,1.74,1609
"114",2015-03-11,1.47,1623
"115",2015-03-25,2.39,1637
"116",2015-04-08,3.4,1651
"117",2015-04-22,11,1665
"118",2015-05-06,10.2,1679
"119",2015-05-20,5.6,1693
"120",2015-06-03,2.71,1707
"121",2015-06-17,9.19,1721
"122",2015-07-01,9.44,1735
"123",2015-07-15,32.2,1749
"124",2015-07-29,11.5,1763
"125",2015-08-12,20.8,1777
"126",2015-08-26,13.6,1791
"127",2015-09-09,3.32,1805
"128",2015-09-23,2.65,1819
"129",2015-10-07,3.48,1833
"130",2015-10-21,4.54,1847
"131",2015-11-04,6.6,1861
"132",2015-11-18,1.66,1875
"133",2015-12-02,3.16,1889
"134",2017-01-09,6.81,2293
"135",2017-01-23,10.3,2307
"136",2017-02-06,14.4,2321
"137",2017-02-20,7.7,2335
"138",2017-03-06,6.55,2349
"139",2017-03-20,18.3666666666667,2363
"140",2017-04-17,4.88,2391
"141",2017-04-24,7.28,2398
"142",2017-05-01,6.54,2405
"143",2017-05-08,42.5,2412
"144",2017-06-05,21.7,2440
"145",2017-06-12,24.6,2447
"146",2017-06-19,9.91,2454
"147",2017-07-05,10.1,2470
"148",2017-07-17,1.35,2482
"149",2017-08-01,51.2,2497
"150",2017-08-14,61.4,2510
"151",2017-08-28,28.9,2524
"152",2017-09-13,2.82,2540
"153",2017-09-25,8.61,2552
"154",2017-10-09,3.75,2566
"155",2017-10-23,4.24,2580
"156",2017-11-06,13.9,2594
"157",2017-11-20,8.06,2608
"158",2017-12-04,5.28,2622
"159",2018-01-16,3.01,2665
"160",2018-02-12,6.42,2692
"161",2018-03-12,14.5,2720
"162",2018-03-26,13.9,2734
"163",2018-04-23,21.1,2762
"164",2018-05-07,15,2776
"165",2018-05-21,16.3,2790
"166",2018-06-18,8.76,2818
"167",2018-07-02,17.8,2832
"168",2018-07-16,14.8,2846
"169",2018-07-30,27.8,2860
"170",2018-08-06,26.7,2867
"171",2018-08-20,16,2881
"172",2018-09-04,7.81,2896
"173",2018-09-17,5.29,2909
"174",2018-10-01,8.77,2923
"175",2018-10-04,17.5,2926
"176",2018-10-15,13.3,2937
"177",2018-10-29,7.78,2951
"178",2018-11-13,1.89,2966
"179",2018-11-26,6.79,2979
"180",2018-12-11,4.13,2994
"181",2018-12-26,6.91,3009
"182",2019-01-07,9.62,3021
"183",2019-01-22,10,3036
"184",2019-02-04,30.9,3049
"185",2019-02-18,15.9,3063
"186",2019-03-04,15.2666666666667,3077
"187",2019-03-06,14.1,3079
"188",2019-03-18,19.5,3091
"189",2019-04-08,16.2,3112
"190",2019-04-22,24.7,3126
"191",2019-05-06,23.6,3140
"192",2019-05-20,29.6,3154
"193",2019-06-03,23.1,3168
"194",2019-06-17,22.2,3182
"195",2019-06-20,24.3,3185
"196",2019-07-01,16.3,3196
"197",2019-07-15,3.5,3210
"198",2019-07-29,34.6,3224
"199",2019-08-12,11.8,3238
"200",2019-08-26,4.2,3252
"201",2019-09-09,4.65,3266
"202",2019-09-23,14.3,3280
"203",2019-10-08,5.74,3295
"204",2019-10-21,2.6,3308
"205",2019-11-04,6.17,3322
"206",2019-11-18,3.95,3336
"207",2019-12-02,7.71,3350
"208",2019-12-16,10.3,3364
"209",2020-01-13,12.6,3392
"210",2020-01-27,17.9,3406
"211",2020-02-10,21,3420
"212",2020-02-24,18.2,3434
"213",2020-03-09,25.1,3448
"214",2020-03-23,19.3,3462
"215",2020-04-06,24.4,3476
"216",2020-04-20,24.6,3490
"217",2020-05-04,25.6,3504
"218",2020-05-18,30.7,3518
"219",2020-06-01,61.1,3532
"220",2020-06-15,34.7,3546
"221",2020-06-29,37.6,3560
"222",2020-07-13,20.1,3574
"223",2020-07-27,15.1,3588
"224",2020-08-10,6,3602
"225",2020-08-24,7.2,3616
"226",2020-09-08,3.84,3631
"227",2020-09-21,3.06,3644
"228",2020-10-05,5.79,3658
"229",2020-10-19,1.68,3672
"230",2020-11-02,7.25,3686
"231",2020-11-16,2.6,3700
"232",2020-11-30,13.3,3714
"233",2020-12-14,18.6,3728
"234",2020-12-28,11.4,3742
"235",2021-01-11,20,3756
"236",2021-01-25,18.8,3770
"237",2021-02-08,19.8,3784
"238",2021-02-22,19.3,3798
"239",2021-03-08,22.9,3812
"240",2021-03-22,25.6,3826
"241",2021-04-05,23.9,3840
"242",2021-04-19,21.4,3854
"243",2021-05-03,19.7,3868
"244",2021-05-17,24.6,3882
"245",2021-06-01,19.5,3897
"246",2021-06-14,19.8,3910
"247",2021-06-28,14.8,3924
"248",2021-07-12,11.2,3938
"249",2021-07-26,15.3,3952
"250",2021-08-09,26.5,3966
"251",2021-08-23,18.4,3980
"252",2021-09-07,29.9,3995
"253",2021-09-20,3.93,4008
"254",2021-10-04,8.39,4022
"255",2021-10-18,6.83,4036
"256",2021-11-01,17.8,4050
"257",2021-11-15,21.7,4064
"258",2021-11-29,16.6,4078
"259",2021-12-13,24.6,4092
"260",2021-12-27,7.42,4106
"261",2022-01-10,7.44,4120
"262",2022-01-24,12,4134
"263",2022-02-07,30,4148
"264",2022-02-21,20.8,4162
"265",2022-03-07,15.7,4176
"266",2022-03-21,18.3,4190
"267",2022-04-04,32.5,4204
"268",2022-04-18,21.1,4218
"269",2022-05-02,12.2,4232
"270",2022-05-16,17.8,4246
"271",2022-05-31,29.7,4261
"272",2022-06-13,12.6,4274
"273",2022-06-27,19.2,4288
"274",2022-07-11,19.9,4302
"275",2022-07-25,16.4,4316
"276",2022-08-08,1.71,4330
"277",2022-08-22,1.8,4344
"278",2022-09-06,6.8,4359
"279",2022-09-19,3.66,4372
"280",2022-10-03,8.46,4386
"281",2022-10-17,4.99,4400
"282",2022-10-31,4.69,4414
"283",2022-11-14,3.22,4428
"284",2022-11-28,7.49,4442
"285",2022-12-12,7.38,4456
"286",2022-12-27,2,4471
"287",2023-01-09,6.61,4484
"288",2023-01-23,4.8,4498
"289",2023-02-06,5.15,4512
"290",2023-02-20,0.296,4526
"291",2023-03-06,10,4540
"292",2023-03-20,4.52,4554
"293",2023-04-03,10.2,4568
"294",2023-04-17,9.8,4582
"295",2023-05-01,37.7,4596
