"","date","S65E_CHLOROPHYLL-A, CORRECTED_ug/L","days"
"1",1996-01-09,5.2,9
"2",1996-01-23,16.7,23
"3",1996-02-06,17.5,37
"4",1996-02-20,47.95,51
"5",1996-03-05,12.3,65
"6",1996-03-19,3.55,79
"7",1996-04-02,17.5,93
"8",1996-04-16,8.15,106
"9",1996-04-30,4.78,120
"10",1996-05-14,2.65,134
"11",1996-05-28,11.35,148
"12",1996-06-11,8.197665,162
"13",1996-06-25,7.2,176
"14",1996-07-09,8,190
"15",1996-07-23,10.95,204
"16",1996-08-06,NA,218
"17",1996-08-20,NA,232
"18",1996-09-03,2.7,246
"19",1996-09-17,0,260
"20",1996-10-01,NA,274
"21",1996-10-15,0.35,288
"22",1996-10-29,0.7,303
"23",1996-11-12,0.966666666666667,317
"24",1996-11-26,0.7,331
"25",1996-12-10,0.35,345
"26",1996-12-26,0.666666666666667,361
"27",1997-01-07,4.95,373
"28",1997-01-21,0.533333333333333,387
"29",1997-02-05,8.5,402
"30",1997-02-18,4.3,415
"31",1997-03-04,3.45,429
"32",1997-03-18,2.4,443
"33",1997-04-01,4.3,457
"34",1997-04-15,4.7,470
"35",1997-04-29,7.8,484
"36",1997-05-13,13,498
"37",1997-05-27,11.85,512
"38",1997-06-10,18,526
"39",1997-06-24,6,540
"40",1997-07-08,11.2,554
"41",1997-07-22,22.6,568
"42",1997-08-05,23.1,582
"43",1997-08-19,10.9,596
"44",1997-09-02,6.7,610
"45",1997-09-16,1.9,624
"46",1997-09-30,4,638
"47",1997-10-14,NA,652
"48",1997-10-28,1.6,667
"49",1997-11-12,NA,682
"50",1997-11-25,1.6,695
"51",1997-12-09,2.9,709
"52",1997-12-23,14.5,723
"53",1998-01-20,9.8,751
"54",1998-02-03,5.6,765
"55",1998-02-17,7.6,779
"56",1998-03-03,10.5,793
"57",1998-03-17,12,807
"58",1998-03-31,6.7,821
"59",1998-04-14,4.9,834
"60",1998-04-28,NA,848
"61",1998-05-12,5.3,862
"62",1998-05-26,2.3,876
"63",1998-06-09,2.7,890
"64",1998-06-23,18.9,904
"65",1998-07-07,19.3,918
"66",1998-07-21,4.4,932
"67",1998-08-04,5.8,946
"68",1998-08-18,4.8,960
"69",1998-09-01,9.6,974
"70",1998-09-29,2.4,1002
"71",1998-10-13,20.3,1016
"72",1998-10-27,1.5,1031
"73",1998-11-09,NA,1044
"74",1998-11-24,3.7,1059
"75",1998-12-08,1.3,1073
"76",1998-12-22,NA,1087
"77",1999-01-05,NA,1101
"78",1999-01-19,4.3,1115
"79",1999-02-02,1.8,1129
"80",1999-02-16,NA,1143
"81",1999-03-02,1.55,1157
"82",1999-03-16,NA,1171
"83",1999-03-30,2.7,1185
"84",1999-04-13,13.1,1198
"85",1999-04-27,14.5,1212
"86",1999-05-11,14.9,1226
"87",1999-05-25,3.2,1240
"88",1999-06-08,6.3,1254
"89",1999-06-22,21.3,1268
"90",1999-07-06,3.8,1282
"91",1999-07-20,3.45,1296
"92",1999-08-03,6.35,1310
"93",1999-08-17,16,1324
"94",1999-08-31,7.6,1338
"95",1999-09-16,3.23333333333333,1354
"96",1999-09-28,0.7,1366
"97",1999-10-12,3.1,1380
"98",1999-10-26,12.8,1394
"99",1999-11-09,4.3,1409
"100",1999-11-23,17.1,1423
"101",1999-12-07,0.55,1437
"102",1999-12-21,0.4,1451
"103",2000-01-04,4.96666666666667,1465
"104",2000-01-18,3.65,1479
"105",2000-02-01,12,1493
"106",2000-02-15,16.1,1507
"107",2000-02-29,4.9,1521
"108",2000-03-14,4.8,1535
"109",2000-03-28,8.5,1549
"110",2000-04-11,8,1562
"111",2000-04-24,0.95,1575
"112",2000-05-09,1.2,1590
"113",2000-05-23,60.7,1604
"114",2000-06-06,19.2,1618
"115",2000-06-20,18.9,1632
"116",2000-07-05,12.6,1647
"117",2000-07-18,10.4,1660
"118",2000-08-01,10.0666666666667,1674
"119",2000-08-15,14.8333333333333,1688
"120",2000-08-29,46.5,1702
"121",2000-09-12,15.5,1716
"122",2000-09-26,37.3,1730
"123",2000-10-10,NA,1744
"124",2000-10-24,NA,1758
"125",2000-11-07,NA,1773
"126",2000-11-21,NA,1787
"127",2000-12-05,1.1,1801
"128",2001-01-02,NA,1829
"129",2001-01-16,1,1843
"130",2001-02-13,NA,1871
"131",2001-02-27,4.4,1885
"132",2001-03-13,1.3,1899
"133",2001-03-27,4.7,1913
"134",2001-04-10,1.9,1926
"135",2001-04-24,1,1940
"136",2001-05-08,2.5,1954
"137",2001-05-22,27.5,1968
"138",2001-06-05,1.8,1982
"139",2001-06-19,2.4,1996
"140",2001-07-03,1.6,2010
"141",2001-07-17,8.8,2024
"142",2001-07-31,2.5,2038
"143",2001-08-14,18.5,2052
"144",2001-08-28,21.4,2066
"145",2001-09-11,5.73333333333333,2080
"146",2001-09-25,11.2,2094
"147",2001-10-09,8.7,2108
"148",2001-11-06,6.2,2137
"149",2001-11-20,7,2151
"150",2001-12-04,1.9,2165
"151",2001-12-18,5.9,2179
"152",2002-01-15,3.5,2207
"153",2002-01-29,3.25,2221
"154",2002-02-12,2.5,2235
"155",2002-02-26,7.4,2249
"156",2002-03-12,5.1,2263
"157",2002-03-26,3.5,2277
"158",2002-04-09,1.45,2290
"159",2002-04-23,8.3,2304
"160",2002-05-07,7.3,2318
"161",2002-05-21,9.9,2332
"162",2002-06-04,13.1,2346
"163",2002-06-18,2.63333333333333,2360
"164",2002-07-02,3.3,2374
"165",2002-07-16,4.05,2388
"166",2002-07-30,4.1,2402
"167",2002-08-13,9.5,2416
"168",2002-08-27,4.6,2430
"169",2002-09-10,2.6,2444
"170",2002-09-24,3.3,2458
"171",2002-10-08,5.9,2472
"172",2002-10-22,9.4,2486
"173",2002-11-05,3.1,2501
"174",2002-11-19,4.3,2515
"175",2002-12-03,9.1,2529
"176",2002-12-17,0.575,2543
"177",2002-12-31,4.6,2557
"178",2003-01-14,6.6,2571
"179",2003-01-28,2.7,2585
"180",2003-02-11,2.7,2599
"181",2003-02-25,2.3,2613
"182",2003-03-11,9.7,2627
"183",2003-03-25,2.3,2641
"184",2003-04-08,4.9,2654
"185",2003-04-22,4.7,2668
"186",2003-05-06,1.75,2682
"187",2003-06-03,2.1,2710
"188",2003-06-17,5.9,2724
"189",2003-07-01,12.6,2738
"190",2003-07-15,14.6,2752
"191",2003-07-29,17.6,2766
"192",2003-08-12,5.8,2780
"193",2003-08-26,5.2,2794
"194",2003-09-09,1.5,2808
"195",2003-09-23,4,2822
"196",2003-10-07,0.5,2836
"197",2003-10-21,3,2850
"198",2003-11-04,2,2865
"199",2003-11-18,5,2879
"200",2003-12-02,3,2893
"201",2003-12-16,4,2907
"202",2003-12-30,1.5,2921
"203",2004-01-13,3,2935
"204",2004-01-27,5,2949
"205",2004-02-10,0.5,2963
"206",2004-02-24,11,2977
"207",2004-03-09,29,2991
"208",2004-03-23,11,3005
"209",2004-04-06,7,3018
"210",2004-04-20,3,3032
"211",2004-05-04,3,3046
"212",2004-05-18,3,3060
"213",2004-06-08,2,3081
"214",2004-06-22,19,3095
"215",2004-07-06,3,3109
"216",2004-07-20,2.5,3123
"217",2004-08-03,4,3137
"218",2004-08-17,12,3151
"219",2004-08-31,10,3165
"220",2004-09-14,14,3179
"221",2004-09-29,7,3194
"222",2004-10-12,4,3207
"223",2004-10-26,0,3221
"224",2004-11-09,2,3236
"225",2004-11-22,4,3249
"226",2004-12-07,2,3264
"227",2004-12-21,0.5,3278
"228",2005-01-04,3,3292
"229",2005-01-18,3,3306
"230",2005-02-01,3,3320
"231",2005-02-15,5,3334
"232",2005-03-01,1,3348
"233",2005-03-15,7,3362
"234",2005-03-29,4,3376
"235",2005-04-12,2,3389
"236",2005-04-26,6,3403
"237",2005-05-10,7,3417
"238",2005-05-24,6,3431
"239",2005-06-07,0,3445
"240",2005-06-21,5,3459
"241",2005-07-05,0.5,3473
"242",2005-07-19,1.5,3487
"243",2005-08-02,0.5,3501
"244",2005-08-16,4,3515
"245",2005-08-30,5,3529
"246",2005-09-12,1.5,3542
"247",2005-09-26,12,3556
"248",2005-10-11,6,3571
"249",2005-11-08,1.5,3600
"250",2005-11-16,2,3608
"251",2005-12-06,4,3628
"252",2005-12-20,4,3642
"253",2006-01-03,4,3656
"254",2006-01-17,3,3670
"255",2006-01-30,3,3683
"256",2006-02-13,0.5,3697
"257",2006-02-28,5,3712
"258",2006-03-13,1,3725
"259",2006-03-28,3,3740
"260",2006-04-11,1,3753
"261",2006-04-24,6,3766
"262",2006-05-08,10,3780
"263",2006-05-23,2.5,3795
"264",2006-06-06,3,3809
"265",2006-06-19,0.5,3822
"266",2006-07-18,4,3851
"267",2006-07-31,1,3864
"268",2006-08-14,7,3878
"269",2006-08-31,6,3895
"270",2006-09-11,5,3906
"271",2006-09-25,2,3920
"272",2006-10-10,5,3935
"273",2006-10-24,2,3949
"274",2006-11-07,NA,3964
"275",2006-11-21,2,3978
"276",2006-12-05,0.5,3992
"277",2006-12-19,NA,4006
"278",2007-01-02,NA,4020
"279",2007-01-16,NA,4034
"280",2007-01-30,NA,4048
"281",2007-02-13,2,4062
"282",2007-02-27,8,4076
"283",2007-03-13,NA,4089
"284",2007-03-27,2,4103
"285",2007-04-10,NA,4117
"286",2007-04-24,NA,4131
"287",2007-05-08,0.5,4145
"288",2007-05-22,2,4159
"289",2007-06-05,6.8,4173
"290",2007-06-19,4,4187
"291",2007-07-02,12,4200
"292",2007-08-06,3.5,4235
"293",2007-08-21,2,4250
"294",2007-09-04,0.5,4264
"295",2007-09-17,4,4277
"296",2007-10-01,2,4291
"297",2007-10-15,0.5,4305
"298",2007-10-29,NA,4319
"299",2007-11-05,4,4327
"300",2007-11-20,1,4342
"301",2007-12-03,2.6,4355
"302",2007-12-18,2,4370
"303",2008-01-17,4,4400
"304",2008-01-29,2.5,4412
"305",2008-02-04,5,4418
"306",2008-02-19,8,4433
"307",2008-03-03,8,4446
"308",2008-03-17,5,4459
"309",2008-04-07,17,4480
"310",2008-04-21,18,4494
"311",2008-05-06,15,4509
"312",2008-05-19,6.5,4522
"313",2008-06-03,8.4,4537
"314",2008-06-17,11,4551
"315",2008-07-01,4.5,4565
"316",2008-07-16,5.5,4580
"317",2008-08-06,9,4601
"318",2008-08-26,6,4621
"319",2008-09-08,5,4634
"320",2008-09-22,12,4648
"321",2008-10-06,3.5,4662
"322",2008-10-20,1.5,4676
"323",2008-11-13,3.5,4701
"324",2008-11-24,8,4712
"325",2008-12-10,2,4728
"326",2008-12-23,4.5,4741
"327",2009-01-14,2.5,4763
"328",2009-01-27,5,4776
"329",2009-02-02,4,4782
"330",2009-02-17,15,4797
"331",2009-03-03,6.8,4811
"332",2009-03-17,6,4824
"333",2009-03-31,3.5,4838
"334",2009-04-14,3.5,4852
"335",2009-04-29,14,4867
"336",2009-05-13,7,4881
"337",2009-05-27,31,4895
"338",2009-06-02,12,4901
"339",2009-06-16,5,4915
"340",2009-07-07,4.5,4936
"341",2009-07-20,7,4949
"342",2009-08-04,2.5,4964
"343",2009-08-18,3.5,4978
"344",2009-09-08,4,4999
"345",2009-09-22,1.8,5013
"346",2009-10-07,1.5,5028
"347",2009-10-21,0.5,5042
"348",2009-11-09,0.5,5062
"349",2009-11-30,0.5,5083
"350",2009-12-16,1.5,5099
"351",2009-12-28,2.5,5111
"352",2010-01-11,2,5125
"353",2010-01-25,6,5139
"354",2010-02-08,3,5153
"355",2010-02-17,6,5162
"356",2010-03-15,2.2,5187
"357",2010-03-29,2,5201
"358",2010-04-12,0.5,5215
"359",2010-04-26,3,5229
"360",2010-05-10,0.5,5243
"361",2010-05-24,13,5257
"362",2010-06-07,8.5,5271
"363",2010-06-21,5,5285
"364",2010-07-08,5.5,5302
"365",2010-07-19,4,5313
"366",2010-08-02,5,5327
"367",2010-08-16,4,5341
"368",2010-09-14,4,5370
"369",2010-09-27,1,5383
"370",2010-10-11,3,5397
"371",2010-10-26,2,5412
"372",2010-11-09,4,5427
"373",2010-11-29,4,5447
"374",2010-12-09,14,5457
"375",2010-12-22,21,5470
"376",2011-01-10,9,5489
"377",2011-01-24,9,5503
"378",2011-02-07,20,5517
"379",2011-02-23,20,5533
"380",2011-03-09,8.66666666666667,5547
"381",2011-03-23,8,5560
"382",2011-04-13,26,5581
"383",2011-04-27,19,5595
