"","date","S65E_CHLOROPHYLL-A_ug/L","days"
"1",1996-01-09,5.6,9
"2",1996-01-23,20.3,23
"3",1996-02-06,28,37
"4",1996-02-20,50.95,51
"5",1996-03-05,21.95,65
"6",1996-03-19,5.3,79
"7",1996-04-02,21.4,93
"8",1996-04-16,12.5,106
"9",1996-04-30,6.38,120
"10",1996-05-14,4.4,134
"11",1996-05-28,14.2,148
"12",1996-06-11,12.72445,162
"13",1996-06-25,7.6,176
"14",1996-07-09,8.2,190
"15",1996-07-23,13.05,204
"16",1996-08-06,0.2,218
"17",1996-08-20,NA,232
"18",1996-09-03,4.6,246
"19",1996-09-17,1.2,260
"20",1996-10-01,NA,274
"21",1996-10-15,0.45,288
"22",1996-10-29,1.1,303
"23",1996-11-12,1.36666666666667,317
"24",1996-11-26,0.466666666666667,331
"25",1996-12-10,0.35,345
"26",1996-12-26,0.533333333333333,361
"27",1997-01-07,8.7,373
"28",1997-01-21,1.2,387
"29",1997-02-05,12,402
"30",1997-02-18,6.63333333333333,415
"31",1997-03-04,6.6,429
"32",1997-03-18,3.1,443
"33",1997-04-01,5.55,457
"34",1997-04-15,6.5,470
"35",1997-04-29,8.9,484
"36",1997-05-13,16.7,498
"37",1997-05-27,14.1,512
"38",1997-06-10,25.1,526
"39",1997-06-24,8.15,540
"40",1997-07-08,12.5,554
"41",1997-07-22,26.1,568
"42",1997-08-05,25.9,582
"43",1997-08-19,12.4,596
"44",1997-09-02,10.4,610
"45",1997-09-16,3.4,624
"46",1997-09-30,5,638
"47",1997-10-14,NA,652
"48",1997-10-28,2.3,667
"49",1997-11-12,1.2,682
"50",1997-11-25,1.7,695
"51",1997-12-09,3.9,709
"52",1997-12-23,19.1,723
"53",1998-01-20,13.6,751
"54",1998-02-03,6.9,765
"55",1998-02-17,10.3,779
"56",1998-03-03,13.6,793
"57",1998-03-17,14.6,807
"58",1998-03-31,8.4,821
"59",1998-04-14,6,834
"60",1998-04-28,1.5,848
"61",1998-05-12,6.5,862
"62",1998-05-26,1.6,876
"63",1998-06-09,4.4,890
"64",1998-06-23,19.5,904
"65",1998-07-07,20.5,918
"66",1998-07-21,6.5,932
"67",1998-08-04,8.3,946
"68",1998-08-18,6.7,960
"69",1998-09-01,11.5,974
"70",1998-09-29,2,1002
"71",1998-10-13,22.1,1016
"72",1998-10-27,1.1,1031
"73",1998-11-09,NA,1044
"74",1998-11-24,4,1059
"75",1998-12-08,NA,1073
"76",1998-12-22,NA,1087
"77",1999-01-05,NA,1101
"78",1999-01-19,5.7,1115
"79",1999-02-02,NA,1129
"80",1999-02-16,NA,1143
"81",1999-03-02,1.2,1157
"82",1999-03-16,NA,1171
"83",1999-03-30,2.8,1185
"84",1999-04-13,15.7,1198
"85",1999-04-27,20.2,1212
"86",1999-05-11,20.9,1226
"87",1999-05-25,3.6,1240
"88",1999-06-08,8.2,1254
"89",1999-06-22,21.9,1268
"90",1999-07-06,4,1282
"91",1999-07-20,3.5,1296
"92",1999-08-03,7.95,1310
"93",1999-08-17,17.2,1324
"94",1999-08-31,7.6,1338
"95",1999-09-16,3.86666666666667,1354
"96",1999-09-28,1.65,1366
"97",1999-10-12,4.9,1380
"98",1999-10-26,18.5,1394
"99",1999-11-09,4.5,1409
"100",1999-11-23,18.2,1423
"101",1999-12-07,0.55,1437
"102",1999-12-21,0.95,1451
"103",2000-01-04,5.73333333333333,1465
"104",2000-01-18,4.35,1479
"105",2000-02-01,15.6,1493
"106",2000-02-15,18.3,1507
"107",2000-02-29,5.2,1521
"108",2000-03-14,4.2,1535
"109",2000-03-28,8.8,1549
"110",2000-04-11,9.3,1562
"111",2000-04-24,1.2,1575
"112",2000-05-09,2.1,1590
"113",2000-05-23,69.3,1604
"114",2000-06-06,21.5,1618
"115",2000-06-20,23.1,1632
"116",2000-07-05,13.8,1647
"117",2000-07-18,15.6,1660
"118",2000-08-01,11.9333333333333,1674
"119",2000-08-15,18.7333333333333,1688
"120",2000-08-29,50.4,1702
"121",2000-09-12,18.5,1716
"122",2000-09-26,39.7,1730
"123",2000-10-10,NA,1744
"124",2000-10-24,NA,1758
"125",2000-11-07,NA,1773
"126",2000-11-21,NA,1787
"127",2000-12-05,2,1801
"128",2001-01-02,NA,1829
"129",2001-01-16,1.3,1843
"130",2001-02-13,NA,1871
"131",2001-02-27,5,1885
"132",2001-03-13,1,1899
"133",2001-03-27,4.4,1913
"134",2001-04-10,2,1926
"135",2001-04-24,1.2,1940
"136",2001-05-08,3.5,1954
"137",2001-05-22,33.5,1968
"138",2001-06-05,2.2,1982
"139",2001-06-19,2.9,1996
"140",2001-07-03,1.8,2010
"141",2001-07-17,9.4,2024
"142",2001-07-31,1.8,2038
"143",2001-08-14,20.2,2052
"144",2001-08-28,26.3,2066
"145",2001-09-11,7.6,2080
"146",2001-09-25,13.1,2094
"147",2001-10-09,12.1,2108
"148",2001-11-06,7.8,2137
"149",2001-11-20,10.1,2151
"150",2001-12-04,2.8,2165
"151",2001-12-18,7.6,2179
"152",2002-01-15,4.55,2207
"153",2002-01-29,4.45,2221
"154",2002-02-12,3.75,2235
"155",2002-02-26,8,2249
"156",2002-03-12,7.1,2263
"157",2002-03-26,4.8,2277
"158",2002-04-09,2.3,2290
"159",2002-04-23,10.9,2304
"160",2002-05-07,9.7,2318
"161",2002-05-21,12.3,2332
"162",2002-06-04,15.4,2346
"163",2002-06-18,3.73333333333333,2360
"164",2002-07-02,2.9,2374
"165",2002-07-16,4.25,2388
"166",2002-07-30,5,2402
"167",2002-08-13,9.4,2416
"168",2002-08-27,5.85,2430
"169",2002-09-10,3.15,2444
"170",2002-09-24,4,2458
"171",2002-10-08,7.3,2472
"172",2002-10-22,11.1,2486
"173",2002-11-05,5.1,2501
"174",2002-11-19,4.5,2515
"175",2002-12-03,11.9,2529
"176",2002-12-17,2.5,2543
"177",2002-12-31,8,2557
"178",2003-01-14,9.5,2571
"179",2003-01-28,3.3,2585
"180",2003-02-11,3.4,2599
"181",2003-02-25,2.9,2613
"182",2003-03-11,9.8,2627
"183",2003-03-25,4.1,2641
"184",2003-04-08,6.8,2654
"185",2003-04-22,6.3,2668
"186",2003-05-06,2.35,2682
"187",2003-06-03,2.75,2710
"188",2003-06-17,6.3,2724
"189",2003-07-01,14.6,2738
"190",2003-07-15,18.8,2752
"191",2003-07-29,20.7,2766
"192",2003-08-12,6.6,2780
"193",2003-08-26,6.3,2794
"194",2003-09-09,2,2808
"195",2003-09-23,5,2822
"196",2003-10-07,0.5,2836
"197",2003-10-21,3,2850
"198",2003-11-04,3,2865
"199",2003-11-18,6,2879
"200",2003-12-02,5,2893
"201",2003-12-16,5,2907
"202",2003-12-30,3,2921
"203",2004-01-13,4,2935
"204",2004-01-27,6,2949
"205",2004-02-10,1,2963
"206",2004-02-24,12,2977
"207",2004-03-09,32,2991
"208",2004-03-23,14,3005
"209",2004-04-06,11,3018
"210",2004-04-20,3,3032
"211",2004-05-04,3,3046
"212",2004-05-18,5,3060
"213",2004-06-08,4,3081
"214",2004-06-22,20,3095
"215",2004-07-06,4,3109
"216",2004-07-20,4,3123
"217",2004-08-03,6,3137
"218",2004-08-17,18,3151
"219",2004-08-31,14,3165
"220",2004-09-14,17,3179
"221",2004-09-29,12,3194
"222",2004-10-12,5,3207
"223",2004-10-26,0.666666666666667,3221
"224",2004-11-09,3,3236
"225",2004-11-22,5,3249
"226",2004-12-07,4,3264
"227",2004-12-21,0.5,3278
"228",2005-01-04,4,3292
"229",2005-01-18,5,3306
"230",2005-02-01,4,3320
"231",2005-02-15,6,3334
"232",2005-03-01,1.5,3348
"233",2005-03-15,8,3362
"234",2005-03-29,4,3376
"235",2005-04-12,4,3389
"236",2005-04-26,7,3403
"237",2005-05-10,10,3417
"238",2005-05-24,8,3431
"239",2005-06-07,0,3445
"240",2005-06-21,6,3459
"241",2005-07-05,1.5,3473
"242",2005-07-19,1.5,3487
"243",2005-08-02,1,3501
"244",2005-08-16,5,3515
"245",2005-08-30,6,3529
"246",2005-09-12,2.5,3542
"247",2005-09-26,16,3556
"248",2005-10-11,9,3571
"249",2005-11-08,3,3600
"250",2005-11-16,4,3608
"251",2005-12-06,6,3628
"252",2005-12-20,4,3642
"253",2006-01-03,7,3656
"254",2006-01-17,5,3670
"255",2006-01-30,5,3683
"256",2006-02-13,1,3697
"257",2006-02-28,7,3712
"258",2006-03-13,2,3725
"259",2006-03-28,4,3740
"260",2006-04-11,1,3753
"261",2006-04-24,9,3766
"262",2006-05-08,14,3780
"263",2006-05-23,4,3795
"264",2006-06-06,4.2,3809
"265",2006-06-19,1,3822
"266",2006-07-18,5,3851
"267",2006-07-31,2,3864
"268",2006-08-14,7,3878
"269",2006-08-31,9,3895
"270",2006-09-11,4.33333333333333,3906
"271",2006-09-25,2,3920
"272",2006-10-10,7,3935
"273",2006-10-24,2,3949
"274",2006-11-07,NA,3964
"275",2006-11-21,2,3978
"276",2006-12-05,NA,3992
"277",2006-12-19,0.5,4006
"278",2007-01-02,0,4020
"279",2007-01-16,NA,4034
"280",2007-01-30,NA,4048
"281",2007-02-13,1,4062
"282",2007-02-27,2,4076
"283",2007-03-13,NA,4089
"284",2007-03-27,2,4103
"285",2007-04-10,NA,4117
"286",2007-04-24,2,4131
"287",2007-05-08,1,4145
"288",2007-05-22,2,4159
"289",2007-06-05,5.2,4173
"290",2007-06-19,4,4187
"291",2007-07-02,14,4200
"292",2007-08-06,4.5,4235
"293",2007-08-21,4,4250
"294",2007-09-04,0.5,4264
"295",2007-09-17,3,4277
"296",2007-10-01,3,4291
"297",2007-10-15,1.5,4305
"298",2007-10-29,2,4319
"299",2007-11-05,4,4327
"300",2007-11-20,2,4342
"301",2007-12-03,3,4355
"302",2007-12-18,4,4370
"303",2008-01-17,5,4400
"304",2008-01-29,4,4412
"305",2008-02-04,8,4418
"306",2008-02-19,10,4433
"307",2008-03-03,10,4446
"308",2008-03-17,7,4459
"309",2008-04-07,22,4480
"310",2008-04-21,18,4494
"311",2008-05-06,15,4509
"312",2008-05-19,8.5,4522
"313",2008-06-03,11.2,4537
"314",2008-06-17,12,4551
"315",2008-07-01,6.5,4565
"316",2008-07-16,7,4580
"317",2008-08-06,12,4601
"318",2008-08-26,7,4621
"319",2008-09-08,7.2,4634
"320",2008-09-22,18,4648
"321",2008-10-06,5.5,4662
"322",2008-10-20,2.5,4676
"323",2008-11-13,2.5,4701
"324",2008-11-24,10,4712
"325",2008-12-10,3.5,4728
"326",2008-12-23,5.5,4741
"327",2009-01-14,4,4763
"328",2009-01-27,6,4776
"329",2009-02-02,6,4782
"330",2009-02-17,20,4797
"331",2009-03-03,8.6,4811
"332",2009-03-17,9,4824
"333",2009-03-31,4.5,4838
"334",2009-04-14,5,4852
"335",2009-04-29,18,4867
"336",2009-05-13,8,4881
"337",2009-05-27,35,4895
"338",2009-06-02,12.5,4901
"339",2009-06-16,6.66666666666667,4915
"340",2009-07-07,5.5,4936
"341",2009-07-20,10,4949
"342",2009-08-04,4,4964
"343",2009-08-18,4,4978
"344",2009-09-08,5.5,4999
"345",2009-09-22,3,5013
"346",2009-10-07,2.5,5028
"347",2009-10-21,1,5042
"348",2009-11-09,1.5,5062
"349",2009-11-30,0.5,5083
"350",2009-12-16,1.5,5099
"351",2009-12-28,2.5,5111
"352",2010-01-11,3,5125
"353",2010-01-25,8,5139
"354",2010-02-08,5,5153
"355",2010-02-17,7,5162
"356",2010-03-15,4.4,5187
"357",2010-03-29,4,5201
"358",2010-04-12,1,5215
"359",2010-04-26,4,5229
"360",2010-05-10,1.5,5243
"361",2010-05-24,15,5257
"362",2010-06-07,11.25,5271
"363",2010-06-21,7,5285
"364",2010-07-08,7.5,5302
"365",2010-07-19,5,5313
"366",2010-08-02,6,5327
"367",2010-08-16,5,5341
"368",2010-09-14,6,5370
"369",2010-09-27,2,5383
"370",2010-10-11,5,5397
"371",2010-10-26,3,5412
"372",2010-11-09,6,5427
"373",2010-11-29,6,5447
"374",2010-12-09,16,5457
"375",2010-12-22,25,5470
"376",2011-01-10,13,5489
"377",2011-01-24,13,5503
"378",2011-02-07,23,5517
"379",2011-02-23,23,5533
"380",2011-03-09,13.6666666666667,5547
"381",2011-03-23,11,5560
"382",2011-04-13,32,5581
"383",2011-04-27,24,5595
